beschreibung,dauer_tage,budget_eur,land,region,technologie,projekttyp,teamgroesse,jahr,groesse,projekttyp_detail,ai_effizienz_faktor,stundensatz_eur
"Predictive-Analytics-Plattform für Klein Software. Nachfrageprognose mit LSTM-Modell (MAPE < 8%), Anomalie-Erkennung im Produktionsprozess, MLflow für Modell-Versionierung, REST API für ERP-Anbindung, monatliches Retraining.",190,576158,AT,AT,Python/ML,Neuentwicklung,5,2022,gross,ML Predictive Analytics,0.92,88
"Migration der Altdaten von Köhler Automotive aus Legacy-System (MS Access) in neue PostgreSQL-Datenbank. ETL-Pipeline, Datenbereinigung, Validierungsregeln, Testläufe mit Rollback-Funktion, Dokumentation.",81,78766,DE,DE-SN,Backend,Migration,2,2021,mittel,Datenmigraton,1.0,66
"WooCommerce-Shop für Schulz Media mit bis zu 200 Produkten, Stripe- und PayPal-Zahlungsanbindung, automatisierter Bestellbestätigung per E-Mail und einfacher Lagerverwaltung.",28,19055,DE,DE-BY,PHP,Neuentwicklung,1,2024,klein,Einfacher Online-Shop,0.78,75
"Microservice-API für Krüger Education. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",9,10180,DE,DE-BY,Backend,Neuentwicklung,1,2019,klein,REST API einfach,1.0,80
"Digitalisierungsplattform für Neumann Services. ASP.NET Core, Blazor WebAssembly Frontend, Azure Service Bus, 15 Microservices, DevOps-Pipeline mit automatisierten Tests, ITIL-konformes Change Management.",188,705939,AT,AT,.NET,Neuentwicklung,6,2026,gross,.NET Enterprise Platform,0.68,90
"Analyse-Dashboard für Wagner Immobilien mit Python Dash, Anbindung an 3 Datenquellen, Zeitreihenanalyse, Prognose-Modell für nächste 30 Tage, rollenbasierte Sichtbarkeit.",71,100989,DE,DE-BW,Python/ML,Neuentwicklung,2,2018,mittel,Reporting & Analytics Tool,1.0,84
"Event-Ticketing-System für Zimmermann IT. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",99,79929,DE,DE-TH,JavaScript,Neuentwicklung,2,2022,mittel,Buchungssystem mittel,0.92,64
"KPI-Dashboard für Weber Consulting. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",30,15896,DE,DE-HE,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,81
"Datenmigration für Maier Group von Oracle 11g auf PostgreSQL 15. Schema-Mapping, Stored-Procedure-Umschreibung, Performance-Tests, Zero-Downtime-Migration mit Dual-Write-Ansatz.",105,171067,DE,DE-BW,Backend,Migration,3,2024,mittel,Datenmigraton,1.0,90
"Ablösung des Legacy-Systems von Köhler Automotive (15 Jahre alt, COBOL/Oracle). Strangler-Fig-Muster, schrittweise Migration von 40 Modulen, paralleler Betrieb beider Systeme für 6 Monate, Zero-Downtime-Cutover.",687,1774716,DE,DE-BE,Java,Migration,6,2020,gross,Legacy Migration Enterprise,1.0,74
"Flutter-App für Koch Industries. Kartenintegration via Google Maps, Foto-Upload mit Bildkomprimierung, Echtzeit-Chat via WebSocket, Biometrie-Login, automatische App-Store-Deployment-Pipeline.",77,116043,AT,AT,Mobile,Neuentwicklung,2,2024,mittel,Mobile App mittel,0.78,90
"HR-Self-Service-Portal für Klein Software (150 Mitarbeiter). Vue.js, REST API, Gehaltsabruf-Modul, Weiterbildungskalender, digitale Personalakte, rollenbasierte Zugriffsrechte, DSGVO-konformes Audit-Log.",71,99136,DE,DE-HE,JavaScript,Neuentwicklung,2,2023,mittel,Mitarbeiterportal,0.85,81
"Online-Buchungssystem für Klein Software mit Kalenderansicht, automatischen E-Mail-Erinnerungen, Zahlungsintegration via Stripe und Admin-Backend zur Terminverwaltung. React Frontend, Node.js Backend.",31,28193,CH,CH,JavaScript,Neuentwicklung,1,2024,klein,Buchungssystem klein,0.78,124
"Predictive-Analytics-Plattform für Hartmann Health. Nachfrageprognose mit LSTM-Modell (MAPE < 8%), Anomalie-Erkennung im Produktionsprozess, MLflow für Modell-Versionierung, REST API für ERP-Anbindung, monatliches Retraining.",259,537363,DE,DE-HH,Python/ML,Neuentwicklung,3,2023,gross,ML Predictive Analytics,0.85,95
"Churn-Prediction-System für Richter Tech. Feature Engineering auf 50+ Variablen, XGBoost-Ensemble, SHAP-Erklärbarkeit, automatische Handlungsempfehlungen, A/B-Test-Framework zur Validierung.",77,492054,DE,DE-NW,Python/ML,Neuentwicklung,7,2025,gross,ML Predictive Analytics,0.72,96
"Weiterentwicklung und Bugfixing der bestehenden PHP-Anwendung von Müller GmbH. Code-Review, Behebung von 15 kritischen Bugs, Performance-Optimierung der Datenbankabfragen, Upgrade auf PHP 8.2.",14,12449,DE,DE-HE,PHP,Weiterentwicklung,1,2026,klein,Legacy Bugfixing & Weiterentwicklung,0.68,75
"Shopify-Onlineshop für Becker Pharma. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",27,16725,AT,AT,PHP,Neuentwicklung,1,2020,klein,Einfacher Online-Shop,1.0,60
"KI-gestütztes Dokumentenmanagementsystem für Weber Consulting mit automatischer Klassifikation per NLP (BERT), Volltextsuche via Elasticsearch, Versionierung, Zugriffsrollen und DSGVO-konformem Hosting auf deutschen Servern.",129,708652,CH,CH,Python/ML,Neuentwicklung,4,2026,gross,ML Dokumentenmanagement,0.68,152
"Middleware-Lösung für Fischer Handel zur Anbindung von 4 Drittsystemen (CRM, ERP, Shop, Versand). Message-Queue via RabbitMQ, Retry-Logik, Monitoring-Dashboard, detailliertes Fehler-Logging.",49,75028,DE,DE-SN,Backend,Neuentwicklung,2,2025,mittel,API-Integration Middleware,0.72,75
"B2B-Online-Shop für Bauer Digital. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",86,131711,DE,DE-HH,PHP,Neuentwicklung,3,2022,mittel,E-Commerce Platform,0.92,68
"Shopify-Onlineshop für Schäfer Insurance. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",25,17702,DE,DE-BY,PHP,Neuentwicklung,1,2023,klein,Einfacher Online-Shop,0.85,73
"Analyse-Dashboard für Zimmermann IT mit Python Dash, Anbindung an 3 Datenquellen, Zeitreihenanalyse, Prognose-Modell für nächste 30 Tage, rollenbasierte Sichtbarkeit.",80,128861,DE,DE-BE,Python/ML,Neuentwicklung,3,2021,mittel,Reporting & Analytics Tool,0.97,82
"Maßgeschneiderte E-Commerce-Plattform für Becker & Partner mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",83,102766,AT,AT,PHP,Neuentwicklung,2,2024,mittel,E-Commerce Platform,0.78,69
"Krankenhausinformationssystem-Modul für Wagner Immobilien. HL7-Messaging, DICOM-Viewer-Integration, Medikationsplan-Modul nach BMP-Standard, IHE-XDS-Dokumentenmanagement, BSI-Grundschutz.",364,1355821,DE,DE-NW,Java,Neuentwicklung,7,2023,gross,Gesundheitswesenportal,0.85,85
"Vertriebssteuerungs-CRM für Becker Pharma. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",65,85868,DE,DE-NW,JavaScript,Neuentwicklung,2,2023,mittel,CRM-System,0.85,78
"Terminbuchungsportal für Schwarz Energie (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",29,19398,AT,AT,JavaScript,Neuentwicklung,1,2024,klein,Buchungssystem klein,0.78,81
"Vollständige Neuentwicklung des Kernbanksystems von Krüger Education. Java Spring Boot Microservices, Event Sourcing, CQRS, Migrationsskripte für 2 Mio. Datensätze, Compliance-Anforderungen BaFin.",404,2345858,CH,CH,Java,Migration,7,2024,gross,Legacy Migration Enterprise,1.0,134
"Flutter-App für Richter Tech. Kartenintegration via Google Maps, Foto-Upload mit Bildkomprimierung, Echtzeit-Chat via WebSocket, Biometrie-Login, automatische App-Store-Deployment-Pipeline.",53,91778,DE,DE-BW,Mobile,Neuentwicklung,2,2018,mittel,Mobile App mittel,1.0,80
"Buchungs- und Reservierungsplattform für Weber Consulting mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",97,80827,DE,DE-TH,JavaScript,Neuentwicklung,2,2018,mittel,Buchungssystem mittel,1.0,57
"Wartung und Erweiterung des bestehenden WordPress-Systems von Becker Pharma. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",27,20441,CH,CH,PHP,Weiterentwicklung,1,2021,klein,Legacy Bugfixing & Weiterentwicklung,0.97,96
"Terminbuchungsportal für Fischer Handel (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",37,26236,DE,DE-BY,JavaScript,Neuentwicklung,1,2025,klein,Buchungssystem klein,0.72,92
"WooCommerce-Shop für Weber Consulting mit bis zu 200 Produkten, Stripe- und PayPal-Zahlungsanbindung, automatisierter Bestellbestätigung per E-Mail und einfacher Lagerverwaltung.",38,17035,DE,DE-TH,PHP,Neuentwicklung,1,2020,klein,Einfacher Online-Shop,1.0,51
"Unternehmenswebsite für Weiß Transport auf WordPress-Basis. Custom-Theme-Entwicklung, WooCommerce-Integration für digitale Downloads, SEO-Plugin-Konfiguration, Hosting-Setup.",12,6682,DE,DE-SN,PHP,Neuentwicklung,1,2024,klein,WordPress Website,0.78,59
"Analyse-Dashboard für Müller GmbH mit Python Dash, Anbindung an 3 Datenquellen, Zeitreihenanalyse, Prognose-Modell für nächste 30 Tage, rollenbasierte Sichtbarkeit.",48,83368,DE,DE-NW,Python/ML,Neuentwicklung,3,2019,mittel,Reporting & Analytics Tool,1.0,80
"B2B-Online-Shop für Hartmann Health. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",97,113084,DE,DE-BY,PHP,Neuentwicklung,2,2024,mittel,E-Commerce Platform,0.78,75
"Maßgeschneiderte E-Commerce-Plattform für Koch Industries mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",79,149851,DE,DE-BY,PHP,Neuentwicklung,3,2023,mittel,E-Commerce Platform,0.85,73
"Unternehmensportal für Lange Finance (800 Mitarbeiter) mit bidirektionaler SAP HR-Schnittstelle, SSO via Azure AD, Urlaubsmanagement, Zeiterfassung, Gehaltsabruf und Weiterbildungsmodul. React Frontend, Java Spring Boot Backend.",195,761160,DE,DE-TH,SAP,Neuentwicklung,6,2022,gross,SAP-Integration Portal,0.92,94
"Unternehmensweite Prozessplattform für Krüger Education auf .NET 8 Basis. Workflow-Engine für 20 Genehmigungsprozesse, Power BI Embedded für Berichte, Azure AD Integration, On-Premise-Deployment auf Kundensystemen.",161,1101928,CH,CH,.NET,Neuentwicklung,7,2023,gross,.NET Enterprise Platform,0.85,126
"HR-Self-Service-Portal für Schäfer Insurance (150 Mitarbeiter). Vue.js, REST API, Gehaltsabruf-Modul, Weiterbildungskalender, digitale Personalakte, rollenbasierte Zugriffsrechte, DSGVO-konformes Audit-Log.",72,107671,DE,DE-NW,JavaScript,Neuentwicklung,3,2023,mittel,Mitarbeiterportal,0.85,78
"B2B-Online-Shop für Müller GmbH. Shopware 6, kundenspezifische Preislisten, Bestelllimits, CSV-Massenimport, ERP-Schnittstelle zu SAP Business One, Rechnungsstellung per EDI.",67,145508,DE,DE-BY,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,75
"Middleware-Lösung für Fischer Handel zur Anbindung von 4 Drittsystemen (CRM, ERP, Shop, Versand). Message-Queue via RabbitMQ, Retry-Logik, Monitoring-Dashboard, detailliertes Fehler-Logging.",41,64083,DE,DE-TH,Backend,Neuentwicklung,2,2020,mittel,API-Integration Middleware,1.0,63
"Wartung und Erweiterung des bestehenden WordPress-Systems von Klein Software. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",24,12333,DE,DE-HE,PHP,Weiterentwicklung,1,2018,klein,Legacy Bugfixing & Weiterentwicklung,1.0,59
"Migration der Altdaten von Becker Pharma aus Legacy-System (MS Access) in neue PostgreSQL-Datenbank. ETL-Pipeline, Datenbereinigung, Validierungsregeln, Testläufe mit Rollback-Funktion, Dokumentation.",117,139444,DE,DE-TH,Backend,Migration,3,2023,mittel,Datenmigraton,1.0,69
"Vollständige Neuentwicklung des Kernbanksystems von Hartmann Health. Java Spring Boot Microservices, Event Sourcing, CQRS, Migrationsskripte für 2 Mio. Datensätze, Compliance-Anforderungen BaFin.",345,1174796,DE,DE-NW,Java,Migration,4,2026,gross,Legacy Migration Enterprise,1.0,93
"Einzel-Landing-Page für Produktlaunch von Schmidt AG. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",4,2253,CH,CH,JavaScript,Neuentwicklung,1,2018,klein,Landing Page,1.0,104
"Terminbuchungsportal für Köhler Automotive (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",32,18133,DE,DE-SN,JavaScript,Neuentwicklung,1,2020,klein,Buchungssystem klein,1.0,62
"Maßgeschneiderte E-Commerce-Plattform für Koch Industries mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",67,166827,CH,CH,PHP,Neuentwicklung,3,2024,mittel,E-Commerce Platform,0.78,105
"Management-Dashboard für Schulz Media zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",30,20850,DE,DE-BY,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,86
"Business-Intelligence-Tool für Weber Consulting mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",56,79496,DE,DE-BE,Python/ML,Neuentwicklung,2,2025,mittel,Reporting & Analytics Tool,0.72,92
"KPI-Dashboard für Schäfer Insurance. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",25,29494,CH,CH,JavaScript,Neuentwicklung,1,2026,klein,Dashboard einfach,0.68,131
"Buchungs- und Reservierungsplattform für Hartmann Health mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",56,108807,DE,DE-BY,JavaScript,Neuentwicklung,3,2025,mittel,Buchungssystem mittel,0.72,92
"Buchungs- und Reservierungsplattform für Wagner Immobilien mit Multi-Location-Support, dynamischer Preisgestaltung, Gruppenreservierungen, Stornogebühren-Logik und Anbindung an Zahlungsanbieter.",79,128760,DE,DE-NW,JavaScript,Neuentwicklung,3,2022,mittel,Buchungssystem mittel,0.92,76
"Event-Ticketing-System für Köhler Automotive. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",59,157744,CH,CH,JavaScript,Neuentwicklung,3,2020,mittel,Buchungssystem mittel,1.0,110
"Analyse-Dashboard für Becker Pharma mit Python Dash, Anbindung an 3 Datenquellen, Zeitreihenanalyse, Prognose-Modell für nächste 30 Tage, rollenbasierte Sichtbarkeit.",63,75697,DE,DE-SN,Python/ML,Neuentwicklung,2,2021,mittel,Reporting & Analytics Tool,0.97,73
"B2B-Handelsplattform für Müller GmbH. Microservices-Architektur (12 Services), Kubernetes-Deployment, Punchout-Katalog für EDI-Anbindung, dynamische Preislogik, Self-Service-Kundenportal.",243,1106110,CH,CH,Java,Neuentwicklung,4,2026,gross,Enterprise E-Commerce,0.68,142
"Digitales Patientenportal für Schmidt AG mit KV-Anbindung, HL7 FHIR Schnittstelle, Telematikinfrastruktur-Anbindung, ePA-Integration, DSGVO- und KRITIS-konformes Sicherheitskonzept.",462,1245972,AT,AT,Java,Neuentwicklung,6,2018,gross,Gesundheitswesenportal,1.0,73
"Wartung und Erweiterung des bestehenden WordPress-Systems von Maier Group. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",17,9262,AT,AT,PHP,Weiterentwicklung,1,2023,klein,Legacy Bugfixing & Weiterentwicklung,0.85,67
"Maßgeschneidertes CRM für Weber Consulting mit Kontaktverwaltung, Pipeline-Tracking, E-Mail-Integration via IMAP/SMTP, Aktivitäten-Log, Reporting-Dashboard und CSV-Import für Bestandsdaten.",37,78254,DE,DE-BW,JavaScript,Neuentwicklung,2,2025,mittel,CRM-System,0.72,89
"Cross-Platform-App (iOS & Android) für Schwarz Energie mit 12 Screens, Nutzerregistrierung, Push-Notifications, Offline-Fähigkeit durch lokale SQLite-Datenbank und REST-API-Anbindung. React Native.",71,128519,AT,AT,Mobile,Neuentwicklung,3,2025,mittel,Mobile App mittel,0.72,93
"Business-Intelligence-Tool für Hoffmann Solutions mit automatisierten Tagesberichten, interaktiven Drill-Down-Charts, Anomalie-Erkennung bei KPIs, Slack-Integration für Alerts und Export-Funktion.",61,111541,DE,DE-BE,Python/ML,Neuentwicklung,3,2021,mittel,Reporting & Analytics Tool,0.97,82
"Flutter-App für Becker Pharma. Kartenintegration via Google Maps, Foto-Upload mit Bildkomprimierung, Echtzeit-Chat via WebSocket, Biometrie-Login, automatische App-Store-Deployment-Pipeline.",49,175369,CH,CH,Mobile,Neuentwicklung,3,2024,mittel,Mobile App mittel,0.78,137
"Migration der Altdaten von Zimmermann IT aus Legacy-System (MS Access) in neue PostgreSQL-Datenbank. ETL-Pipeline, Datenbereinigung, Validierungsregeln, Testläufe mit Rollback-Funktion, Dokumentation.",75,135469,AT,AT,Backend,Migration,3,2026,mittel,Datenmigraton,1.0,90
"WordPress-Website für Müller GmbH mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",25,14810,DE,DE-HE,PHP,Neuentwicklung,1,2023,klein,WordPress Website,0.85,69
"Weiterentwicklung und Bugfixing der bestehenden PHP-Anwendung von Klein Software. Code-Review, Behebung von 15 kritischen Bugs, Performance-Optimierung der Datenbankabfragen, Upgrade auf PHP 8.2.",13,7300,DE,DE-TH,PHP,Weiterentwicklung,1,2021,klein,Legacy Bugfixing & Weiterentwicklung,0.97,52
"Churn-Prediction-System für Fischer Handel. Feature Engineering auf 50+ Variablen, XGBoost-Ensemble, SHAP-Erklärbarkeit, automatische Handlungsempfehlungen, A/B-Test-Framework zur Validierung.",222,443619,AT,AT,Python/ML,Neuentwicklung,3,2020,gross,ML Predictive Analytics,1.0,84
"KPI-Dashboard für Richter Tech. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",36,24112,DE,DE-HH,JavaScript,Neuentwicklung,1,2023,klein,Dashboard einfach,0.85,82
"Event-Ticketing-System für Fischer Handel. Next.js, Seat-Map-Visualisierung, QR-Code-Ticket-Generierung, Warteliste, Gutscheinverwaltung, automatische Kapazitätssteuerung.",63,114688,DE,DE-BW,JavaScript,Neuentwicklung,3,2023,mittel,Buchungssystem mittel,0.85,84
"KPI-Dashboard für Weber Consulting. Vue.js Frontend, Echtzeit-Daten via WebSocket, 6 Chart-Typen, automatische E-Mail-Reports, Filterung nach Zeitraum und Region.",43,20551,DE,DE-TH,JavaScript,Neuentwicklung,1,2024,klein,Dashboard einfach,0.78,68
"Maßgeschneiderte E-Commerce-Plattform für Müller GmbH mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",148,219076,CH,CH,PHP,Neuentwicklung,2,2021,mittel,E-Commerce Platform,0.97,96
"Microservice-API für Neumann Services. Python FastAPI, 5 CRUD-Endpoints, Rate-Limiting, API-Key-Verwaltung, automatisierte Tests mit pytest, CI/CD-Pipeline via GitHub Actions.",22,17714,DE,DE-BW,Backend,Neuentwicklung,1,2024,klein,REST API einfach,0.78,90
"Einzel-Landing-Page für Produktlaunch von Krause Retail. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",14,7345,DE,DE-NW,JavaScript,Neuentwicklung,1,2022,klein,Landing Page,0.92,76
"WordPress-Website für Krüger Education mit 8 Unterseiten, Blog-Funktion, mehrsprachigem Plugin (WPML), individuell entwickeltem Child-Theme und Kontaktformular mit DSGVO-konformer Datenspeicherung.",6,4547,DE,DE-BE,PHP,Neuentwicklung,1,2021,klein,WordPress Website,0.97,60
"Einzel-Landing-Page für Produktlaunch von Zimmermann IT. A/B-Testing-fähig, mehrsprachig (DE/EN), mit CMS-Anbindung für eigenständige Inhaltspflege. Mobile-first Ansatz.",8,7062,CH,CH,JavaScript,Neuentwicklung,1,2024,klein,Landing Page,0.78,124
"Weiterentwicklung und Bugfixing der bestehenden PHP-Anwendung von Weiß Transport. Code-Review, Behebung von 15 kritischen Bugs, Performance-Optimierung der Datenbankabfragen, Upgrade auf PHP 8.2.",9,9190,AT,AT,PHP,Weiterentwicklung,1,2025,klein,Legacy Bugfixing & Weiterentwicklung,0.72,71
"Integration-Layer für Zimmermann IT. Apache Kafka, 6 Kafka-Topics, Schema-Registry, Dead-Letter-Queue, automatisches Alerting bei Verarbeitungsfehlern, API-Rate-Limit-Management.",91,109474,DE,DE-BE,Backend,Neuentwicklung,2,2020,mittel,API-Integration Middleware,1.0,72
"Analyse-Dashboard für Frank Legal mit Python Dash, Anbindung an 3 Datenquellen, Zeitreihenanalyse, Prognose-Modell für nächste 30 Tage, rollenbasierte Sichtbarkeit.",28,76041,DE,DE-BW,Python/ML,Neuentwicklung,3,2024,mittel,Reporting & Analytics Tool,0.78,100
"Integration-Layer für Wagner Immobilien. Apache Kafka, 6 Kafka-Topics, Schema-Registry, Dead-Letter-Queue, automatisches Alerting bei Verarbeitungsfehlern, API-Rate-Limit-Management.",67,192806,CH,CH,Backend,Neuentwicklung,3,2024,mittel,API-Integration Middleware,0.78,129
"Online-Buchungssystem für Hoffmann Solutions mit Kalenderansicht, automatischen E-Mail-Erinnerungen, Zahlungsintegration via Stripe und Admin-Backend zur Terminverwaltung. React Frontend, Node.js Backend.",24,31783,CH,CH,JavaScript,Neuentwicklung,1,2023,klein,Buchungssystem klein,0.85,120
"Terminbuchungsportal für Hoffmann Solutions (bis 5 Mitarbeiter). Kundenlogin, Verfügbarkeitsprüfung in Echtzeit, iCal-Export, SMS-Erinnerungen via Twilio, DSGVO-konformes Datenschutz-Setup.",23,13455,AT,AT,JavaScript,Neuentwicklung,1,2019,klein,Buchungssystem klein,1.0,70
"SAP S/4HANA-Anbindung für Becker & Partner. Fiori-ähnliches Portal, RFC-Schnittstellen für MM/PP/FI, Custom ABAP-Entwicklung, Echtzeit-Datensynchronisation, Rollout auf 3 Werke.",134,730897,DE,DE-BE,SAP,Neuentwicklung,7,2023,gross,SAP-Integration Portal,0.85,110
"Vollständige Neuentwicklung des Kernbanksystems von Hoffmann Solutions. Java Spring Boot Microservices, Event Sourcing, CQRS, Migrationsskripte für 2 Mio. Datensätze, Compliance-Anforderungen BaFin.",660,2007022,AT,AT,Java,Migration,6,2019,gross,Legacy Migration Enterprise,1.0,75
"Maßgeschneiderte E-Commerce-Plattform für Wagner Immobilien mit 2.000+ Produkten, Kundenkonto-Bereich, Wunschliste, Produktkonfigurator, Multi-Lager-Verwaltung und Anbindung an Warenwirtschaftssystem.",106,121288,AT,AT,PHP,Neuentwicklung,2,2022,mittel,E-Commerce Platform,0.92,65
"Shopify-Onlineshop für Klein Software. Custom-Theme, bis zu 500 Produkte, Anbindung an DHL-Versandschnittstelle, Gutscheinsystem, Produktbewertungen und Newsletter-Integration.",25,18524,CH,CH,PHP,Neuentwicklung,1,2021,klein,Einfacher Online-Shop,0.97,96
"Weiterentwicklung und Bugfixing der bestehenden PHP-Anwendung von Schmidt AG. Code-Review, Behebung von 15 kritischen Bugs, Performance-Optimierung der Datenbankabfragen, Upgrade auf PHP 8.2.",4,7323,DE,DE-NW,PHP,Weiterentwicklung,1,2025,klein,Legacy Bugfixing & Weiterentwicklung,0.72,71
"Management-Dashboard für Zimmermann IT zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",21,13242,DE,DE-SN,JavaScript,Neuentwicklung,1,2025,klein,Dashboard einfach,0.72,72
"HR-Self-Service-Portal für Braun Logistics (150 Mitarbeiter). Vue.js, REST API, Gehaltsabruf-Modul, Weiterbildungskalender, digitale Personalakte, rollenbasierte Zugriffsrechte, DSGVO-konformes Audit-Log.",62,142639,CH,CH,JavaScript,Neuentwicklung,2,2024,mittel,Mitarbeiterportal,0.78,124
"Internes Mitarbeiterportal für Hoffmann Solutions (80 Nutzer) mit SSO-Anbindung via Azure AD, Urlaubsantrag-Workflow, Dokumentenverwaltung, News-Feed und Organigramm-Darstellung. React Frontend, Node.js Backend, PostgreSQL.",65,84024,DE,DE-HH,JavaScript,Neuentwicklung,2,2018,mittel,Mitarbeiterportal,1.0,71
"Krankenhausinformationssystem-Modul für Lange Finance. HL7-Messaging, DICOM-Viewer-Integration, Medikationsplan-Modul nach BMP-Standard, IHE-XDS-Dokumentenmanagement, BSI-Grundschutz.",249,671756,DE,DE-HH,Java,Neuentwicklung,3,2023,gross,Gesundheitswesenportal,0.85,89
"Wartung und Erweiterung des bestehenden WordPress-Systems von Weiß Transport. Plugin-Updates, Sicherheits-Audit, neue Such- und Filterfunktionen, Optimierung der Ladezeiten auf unter 2 Sekunden.",15,6416,DE,DE-TH,PHP,Weiterentwicklung,1,2018,klein,Legacy Bugfixing & Weiterentwicklung,1.0,48
"Management-Dashboard für Braun Logistics zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",18,20205,CH,CH,JavaScript,Neuentwicklung,1,2025,klein,Dashboard einfach,0.72,128
"Vertriebssteuerungs-CRM für Lange Finance. React, GraphQL API, Angebots-Erstellung mit PDF-Export, Wiedervorlage-System, Outlook-Kalender-Synchronisation, Mobilansicht für Außendienst.",61,80645,DE,DE-SN,JavaScript,Neuentwicklung,3,2019,mittel,CRM-System,1.0,60
"Management-Dashboard für Fischer Handel zur Visualisierung von Verkaufszahlen. React mit Recharts, Datenbankanbindung über bestehende API, Exportfunktion als PDF/Excel, Nutzerrollen-System.",28,19241,DE,DE-BW,JavaScript,Neuentwicklung,1,2024,klein,Dashboard einfach,0.78,87
